Название вакансии,URL,Название компании,Описание
Разработчик Python,https://voronezh.hh.ru/vacancy/34004491?query=Python, Ingate,"Проектирование и реализация программных систем. Доработка, отладка и оптимизация существующих программ. Анализ и решение сложных технических проблем. Знание Python и опыт разработки на нем от 2 лет. Желательно знание базовых структур данных и операций над ними. "
Разработчик Python,https://voronezh.hh.ru/vacancy/34004641?query=Python, Ingate,"Проектирование и реализация программных систем. Доработка, отладка и оптимизация существующих программ. Анализ и решение сложных технических проблем. Знание Python и опыт разработки на нем от 2 лет. Желательно знание базовых структур данных и операций над ними. "
Тестировщик ПО (ручное тестирование),https://voronezh.hh.ru/vacancy/34234394?query=Python, Comagic,Тестирование продуктов компании (работа с тест-комплектами): API. Личный кабинет клиента. Ручное (90 %) и автотестирование. Написание тест-кейсов и планов... Знание Unix/Linux-based операционных систем (bash/ssh/ps/grep и т.п.). Знание языка Python. Опыт использования Selenium или...
Программист Python,https://voronezh.hh.ru/vacancy/29272064?query=Python,ЗАО Ижевский нефтяной научный центр,Участие в полном цикле разработки продукта. Проектирование и разработка сервисов связи с внешними системами. Unit-тестирование и code-ревью. Высшее профессиональное (ИТ) образование. - Опыт коммерческой разработки на Python от 2-х лет. - Хорошие знания принципов ООП и основных шаблонов...
Python web-developer,https://voronezh.hh.ru/vacancy/34312615?query=Python,ООО АвтоТрансИнфо,"Задачи по системе электронного документооборота, мессенджеру, информационному изданию и по плану еще много интеграционных проектов впереди. Разработка ведется в автоматизированной... Уверенное владение python (3.4+). Знакомство с NoSQL (CAP-теорема не пустой звук). Опыт работы с системами контроля версий..."
Разработчик Python,https://voronezh.hh.ru/vacancy/33831336?query=Python, X5 RETAIL GROUP,"Хорошо разбираетесь в алгоритмах и структурах данных. Разрабатывали распределенные или высоконагруженные системы. Считаете DevOps-практики важной составляющей процесса разработки.  Хорошее знание Python 3.x и опыт разработки на нем от 2х лет. Понимание работы сетевых протоколов, архитектуры REST. "
Python/Go Developer,https://voronezh.hh.ru/vacancy/31705088?query=Python,ООО Центр недвижимости от Сбербанка,"Понимающее IT-руководство. Например, у нас есть квота 1 день в неделю на борьбу с тех. долгом/саморазвитие/рисеч/решение... Бизнес-руководство, нацеленное на результат. Пробовали: Tornado/Django/Pyramid. Работали с Docker, раскатывали ansible, слышали про kubernetes. Имеют опыт работы..."
Junior Python разработчик,https://voronezh.hh.ru/vacancy/33289186?query=Python,ИП Sibdev," Минимальный опыт в веб-программировании. – Базовое знание Python (Django). – Знание каких-либо из следующих инструментов: MySQL, PostgreSQL, MongoDB, Flask, Redis..."
Backend Python – разработчик,https://voronezh.hh.ru/vacancy/33900383?query=Python,ООО СКАЙТРЭК,"Качественный кодинг на Python под Linux, тестирование, документирование, поддержка. Поддержка проектного цикла в среде JIRA. Подтверждение навыков и талантов в случае отсутствия образования. Опыт работы с Python3. Опыт работы с СУБД, работа с SQL..."
Разработчик Python,https://voronezh.hh.ru/vacancy/33828496?query=Python, Открытые Технологии,Реализация нового функционала. Анализ чужого кода. Опыт промышленной разработки на Python. Опыт разработки многопоточных приложений. Опыт разработки многопроцессорных систем. Опыт работы с системами контроля версий. 
Python-разработчик,https://voronezh.hh.ru/vacancy/34321618?query=Python,ООО БОСТОНДЖИН,Анализ генетических данных пациента — основной инструмент для получения информации о заболевании и разработки персонализированного плана лечения. Современные методы секвенирования позволяют... Опыт разработки на Python от 3 лет. Опыт разработки на Java. Опыт построения и масштабирования веб-приложений на Python. 
Разработчик Python,https://voronezh.hh.ru/vacancy/33571142?query=Python," Европром, холдинг","Профилирование кода по производительности и потреблению памяти. От вас: От 2 лет опыта разработки на python. Опыт веб-разработки, желательно с использованием django framework. Понимание принципов работы..."
Ведущий python-разработчик,https://voronezh.hh.ru/vacancy/33867596?query=Python, ASD Technologies,"Разработка бекендной части системы класса EFSS (Enterprise File Sync and Share): управление файлами в облаке, алгоритмы синхронизации, удаленный доступ.  Знание английского языка (письменный - обязательно, разговорный - желательно). Плюсом будет: Опыт работы с любыми Python фреймворками (Bottle, Django, Flask, Pyramid и..."
Ведущий python-разработчик,https://voronezh.hh.ru/vacancy/33867598?query=Python, ASD Technologies,"Разработка бекендной части системы класса EFSS (Enterprise File Sync and Share): управление файлами в облаке, алгоритмы синхронизации, удаленный доступ.  Знание английского языка (письменный - обязательно, разговорный - желательно). Плюсом будет: Опыт работы с любыми Python фреймворками (Bottle, Django, Flask, Pyramid и..."
Ведущий python-разработчик,https://voronezh.hh.ru/vacancy/33867584?query=Python, ASD Technologies,"Разработка бекендной части системы класса EFSS (Enterprise File Sync and Share): управление файлами в облаке, алгоритмы синхронизации, удаленный доступ.  Знание английского языка (письменный - обязательно, разговорный - желательно). Плюсом будет: Опыт работы с любыми Python фреймворками (Bottle, Django, Flask, Pyramid и..."
Разработчик Python Backend,https://voronezh.hh.ru/vacancy/34210548?query=Python, Web Interactive World,"Сбор данных, разработка архитектуры их хранения, представление их удобном для анализа виде. Построение архитектуры решения, написание ключевых блоков кода проекта.  Отличное знание Python 3.6 (ООП). Опыт работы с веб-фреймворками Django, Celery. Владение многопоточным multiprocessing и асинхронными подходами asyncio..."
"Python-разработчик в Tripster (Python, Django, Celery, Redis, Elasticsearch)",https://voronezh.hh.ru/vacancy/33696273?query=Python, Трипстер,"Понимание основных концепций веб-разработки (кэширование, сессии, очереди задач, работа со сторонними API и т.д.). Что используем.  Отличные знания Python, Django, MySQL (транзакции и оптимизация запросов), опыт работы с Elasticsearch. Базовый опыт работы с Javascript, чем-нибудь..."
Программист Python,https://voronezh.hh.ru/vacancy/33743278?query=Python, Центр технологий моделирования,"Разработка, сопровождение и интеграция приложений для нефтегазовой отрасли. GitLab, GitLab CI, code review, Redmine. Опыт разработки на языке Python. Опыт работы с Flask + SqlAlchemy или Django. Опыт работы с Celery (RabbitMQ). "
Python developer,https://voronezh.hh.ru/vacancy/33598900?query=Python, Jar Soft,1. Построение pipeline обработки данных. 2. Интеграция готовых моделей машинного обучение в продакшн. 3. Разработка инструментов разработчика для оптимизации моделей... Уверенное знание языка Python. Опыт развертки и поддержки Python приложений. Опыт работы с SQL/NOSQL БД. Знание алгоритмов и структур...
Программист Python,https://voronezh.hh.ru/vacancy/34274580?query=Python,ООО ВойсЛинк,"Разработка программного обеспечения встраиваемых систем под Linux и десктопных приложений под Windows. Проверка, поддержка собственного кода, написание сопроводительной документации. Опыт коммерческой разработки на Python от 2-х лет. Опыт работы с реляционными базами данных. Навыки администрирования, опыт разработки приложений..."
"Python developer, junior ML-engineer",https://voronezh.hh.ru/vacancy/33953502?query=Python,ООО Целус Менеджмент,"Внедрять готовые решения: создавать приложения, диалоговые системы, реализовывать api. Создавать тесты и документацию. Анализировать и структурировать данные и метаданные.  pet projects). Умение писать красивый и поддерживаемый код. Уверенное использование Python, базовое знание C++. Знание основ GIT. Знание или интерес..."
Fullstack разработчик (Python 3+),https://voronezh.hh.ru/vacancy/33355157?query=Python,"ООО Дионис, Пенза","Так же наша компания занимается разработкой систем автоматизации бизнес процессов: автоматизация продовольственного склада, автоматизация учета сбора ягод на промышленных полях... Опыт работы с системой контроля версий Git. Опыт разработке на Python 3+ (Falcon, Django, Flask) и VUE. "
Junior Web разработчик,https://voronezh.hh.ru/vacancy/33929691?query=Python, Carbon Soft,"Backend разработка веб-служб на Python. Frontend верстка интерфейсов веб-служб. Любить программирование. Опыт программирования на Python. Знание git или другой системы контроля версий. Опыт работы с Framework Django, Flask или..."
Junior аналитик данных,https://voronezh.hh.ru/vacancy/34031791?query=Python,ООО Софтвайс,"Заниматься выгрузкой и подготовкой данных с помощью SQL. Проводить аналитические исследования, искать и проверять гипотезы. Работать с BI системой (у... Опыт работы с BI системами (Tableau, Periscope, Power BI и другие) будет плюсом. Владение скриптовыми языками программирования (R,Python) будет..."
Python-developer,https://voronezh.hh.ru/vacancy/34024555?query=Python,ИП Черкасов Константин Юрьевич," Хорошее знание языка Python. Опыт работы с flask, sqlalchemy, MySQl/PostgreSQL. Дополнительные плюсы: Опыт работы с микросервисной архитектурой, опыт работы..."
Python разработчик,https://voronezh.hh.ru/vacancy/34291115?query=Python, Точка,"Ты будешь разрабатывать бэкенд интернет-банка, принимать архитектурные решения и участвовать в создании действительно масштабного проекта. Задачи по-настоящему разные... Работал с Python 3.6, asyncio (async/await), веб-фреймоворками (aiohttp, flask, Django), ORM (peewee, SQLAlchemy, Django ORM). "
Программист Python (м. Адмиралтейская),https://voronezh.hh.ru/vacancy/34314537?query=Python, Star-staff, Что хотели бы видеть у вас: Опыт разработки нагруженных веб приложений на Python от 2х лет. Хорошая алгоритмическая подготовка. 
Программист Python,https://voronezh.hh.ru/vacancy/34041186?query=Python, ИнПлат,"Реализация бэкенд-сервисов на языке Python. Полная ответственность за финальный продукт, в том числе за разработку, настройку инфраструктуры, тестирование, вывод... Опыт разработки на Python 3 не менее 2-х лет. Хорошее знание SQL. Умение писать асинхронный код (asyncio). "
Python Developer (ML),https://voronezh.hh.ru/vacancy/28570434?query=Python,ООО Центр недвижимости от Сбербанка,"Реализация высоконагруженных сервисов на языке Python. Участие в проектировании архитектуры, выработке решений по отказоустойчивости и производительности. Разработка бэкэнда для сервисов... Опыт работы в области создания программного обеспечения в качестве разработчика от 2 лет. Опыт работы хотя бы с одним из..."
Python developer,https://voronezh.hh.ru/vacancy/34005432?query=Python, IVIDEON,Проектировать архитектуру новых сервисов. Автотестить написанное - сейчас код покрыт 800 функциональными тестами. Разрабатывать API приложений и интеграции. Опыт разработки микросервисов.
Программист Python,https://voronezh.hh.ru/vacancy/34198397?query=Python," Insilico Medicine, Inc",Алгоритмическая подготовка. Техническое образование или эквивалентный практический опыт. Хороший опыт разработки на Python. Опыт разработки веб-приложений.
Разработчик Python,https://voronezh.hh.ru/vacancy/33875623?query=Python,ООО Кузница Кадров,"Проектирование и реализация законченных функциональных модулей системы. Ввод системы в промышленную эксплуатацию. Работа на стеке: Oracle/Hadoop/Teradata, Python/Spark... ...Python или Java от 1 года. Уверенные знания SQL. Знание реляционных баз данных (RDB). Желание развиваться в разработке на Python."
Python-разработчик,https://voronezh.hh.ru/vacancy/32418418?query=Python,ООО ЦЦЭТ,"Разработка веб-приложений и сайтов различной степени сложности. Разработка веб-сервисов и API. Проектирование структур баз данных. Разработка функционала фронтенда... Опыт разработки на Python + Django + Django Rest Framework (либо желание изучить Django и Django Rest Framework, если до..."
Ведущий разработчик Python,https://voronezh.hh.ru/vacancy/33900408?query=Python,ООО СКАЙТРЭК,"...систему, систему генерации маркетинговых кампаний, систему оптимизации прайсинга. Разработка архитектуры решения. Качественный кодинг на Python под Linux, тестирование, документирование, поддержка. Области экспертизы и навыки: Экспертное знание Python. Опыт проектирования архитектуры высоконагруженных систем. Разработка систем и приложений в микросервисной архитектуре. "
Machine learning engineer,https://voronezh.hh.ru/vacancy/33947694?query=Python, Tech5," Хорошее знание аналитической геометрии, линейной алгебры, математической статистики и численных методов. Знание С++/Python, достаточное для решения собственных research-задач. "
